Entity,Name,Role/Desc,Website/Social,Emails,Phones,Source_URL
Company,www.owenscorning.com,Scraped via V6 Priority WHOIS Verification,https://www.owenscorning.com/en-us/roofing/contractors/locations/tx/austin,domainabuse@cscglobal.com,,https://www.owenscorning.com/en-us/roofing/contractors/locations/tx/austin
Company,www.loaconstruction.com,Scraped via V4 Deep Firecrawl,https://www.loaconstruction.com/,,"512-645-1687, +15123753654, +1-855-661-3431, 855-661-3431, 512-375-3654, +1 (512) 375-3654, +15126451687",https://www.loaconstruction.com/
Company,zilkerroofing.com,Scraped via V4 Deep Firecrawl,https://zilkerroofing.com/residential/roof-repair/,,512-893-7663,https://zilkerroofing.com/residential/roof-repair/
Company,heritagecctx.com,Scraped via V4 Deep Firecrawl,https://heritagecctx.com/,info@heritagecctx.com,+1 512-528-5559,https://heritagecctx.com/
Company,www.alpharoofingtexas.com,Scraped via V4 Deep Firecrawl,https://www.alpharoofingtexas.com/service-area/roofing-austin-tx/,,"9382517598, 512-777-1086, (512) 777-1086",https://www.alpharoofingtexas.com/service-area/roofing-austin-tx/
Company,www.cedur.com,Scraped via V4 Deep Firecrawl,https://www.cedur.com/roofing-companies-austin-tx,,"(737) 380-1665, (512) 375-3654, (512) 884-1287, (512) 537-8795, (512) 671-7791, (512) 629-4949, (512) 415-4590, (737) 258-3802, (512) 836-7663, (512) 259-9486, (512) 387-8448, (512) 478-2500, (512) 996-0255, (512) 441-8437, (512) 956-7663, (512) 920-3747, (512) 473-6501, (737) 259-5428, (512) 263-3157, (512) 861-5338, (512) 458-6800, (512) 980-1297, (512) 260-3440, (512) 379-7663, (512) 774-9149",https://www.cedur.com/roofing-companies-austin-tx
Company,www.austinroofingandconstruction.com,Scraped via V4 Deep Firecrawl,https://www.austinroofingandconstruction.com/,,512-629-4949,https://www.austinroofingandconstruction.com/
Company,www.loaconstruction.com,Scraped via V4 Deep Firecrawl,https://www.loaconstruction.com/austin/,,"+1-512-375-3654, +15123753654, 512-375-3654, +1 (512) 375-3654, 9359521252, 16795335060",https://www.loaconstruction.com/austin/
Company,roofsandexteriors.com,Scraped via V6 Priority WHOIS Verification,https://roofsandexteriors.com/,gw@roofsandexteriors.com,,https://roofsandexteriors.com/
Company,www.bldup.com,Scraped via V4 Deep Firecrawl,https://www.bldup.com/organizations/construction-unlimited-llc,meghan@bldup.com,,https://www.bldup.com/organizations/construction-unlimited-llc
